,Year,Race,Sex,Execution Method
0,1977,1,1,4
1,1979,1,1,2
2,1979,1,1,3
3,1981,1,1,2
4,1982,1,1,2
5,1982,2,1,5
6,1983,1,1,2
7,1983,1,1,3
8,1983,1,1,2
9,1983,2,1,2
10,1983,1,1,2
11,1984,1,1,2
12,1984,2,1,2
13,1984,1,1,5
14,1984,1,1,5
15,1984,1,1,5
16,1984,1,1,2
17,1984,1,1,2
18,1984,2,1,2
19,1984,1,1,2
20,1984,2,1,2
21,1984,2,1,2
22,1984,1,1,2
23,1984,1,1,2
24,1984,2,1,2
25,1984,2,1,2
26,1984,2,1,2
27,1984,1,1,5
28,1984,1,2,5
29,1984,1,1,2
30,1984,2,1,2
31,1984,1,1,2
32,1985,1,1,2
33,1985,2,1,2
34,1985,1,1,2
35,1985,1,1,5
36,1985,1,1,2
37,1985,2,1,2
38,1985,1,1,2
39,1985,1,1,5
40,1985,2,1,2
41,1985,2,1,2
42,1985,5,1,5
43,1985,2,1,2
44,1985,2,1,5
45,1985,2,1,2
46,1985,5,1,5
47,1985,1,1,5
48,1985,1,1,2
49,1985,1,1,5
50,1986,1,1,2
51,1986,1,1,5
52,1986,2,1,2
53,1986,2,1,2
54,1986,1,1,5
55,1986,2,1,2
56,1986,1,1,5
57,1986,1,1,2
58,1986,5,1,5
59,1986,1,1,5
60,1986,2,1,2
61,1986,2,1,2
62,1986,1,1,5
63,1986,2,1,5
64,1986,1,1,5
65,1986,1,1,5
66,1986,2,1,5
67,1986,5,1,5
68,1987,5,1,5
69,1987,5,1,5
70,1987,2,1,2
71,1987,2,1,3
72,1987,2,1,2
73,1987,2,1,5
74,1987,1,1,2
75,1987,1,1,2
76,1987,2,1,2
77,1987,1,1,2
78,1987,1,1,2
79,1987,2,1,5
80,1987,1,1,2
81,1987,1,1,5
82,1987,2,1,3
83,1987,2,1,2
84,1987,2,1,2
85,1987,1,1,2
86,1987,1,1,2
87,1987,2,1,2
88,1987,1,1,2
89,1987,2,1,5
90,1987,2,1,2
91,1987,1,1,5
92,1987,1,1,2
93,1988,1,1,5
94,1988,2,1,2
95,1988,1,1,2
96,1988,2,1,2
97,1988,2,1,2
98,1988,1,1,5
99,1988,1,1,2
100,1988,1,1,2
101,1988,2,1,5
102,1988,1,1,2
103,1988,2,1,5
104,1989,1,1,5
105,1989,1,1,2
106,1989,2,1,5
107,1989,1,1,2
108,1989,2,1,2
109,1989,1,1,5
110,1989,2,1,2
111,1989,1,1,5
112,1989,2,1,3
113,1989,1,1,5
114,1989,2,1,2
115,1989,2,1,2
116,1989,2,1,2
117,1989,1,1,5
118,1989,2,1,2
119,1989,5,1,5
120,1990,1,1,5
121,1990,2,1,5
122,1990,1,1,2
123,1990,1,1,2
124,1990,2,1,5
125,1990,1,1,5
126,1990,1,1,5
127,1990,2,1,2
128,1990,1,1,5
129,1990,1,1,2
130,1990,1,1,5
131,1990,2,1,5
132,1990,2,1,2
133,1990,1,1,5
134,1990,1,1,2
135,1990,2,1,2
136,1990,1,1,5
137,1990,1,1,5
138,1990,1,1,5
139,1990,1,1,2
140,1990,2,1,2
141,1990,1,1,2
142,1990,1,1,2
143,1991,2,1,5
144,1991,1,1,2
145,1991,5,1,5
146,1991,1,1,5
147,1991,2,1,2
148,1991,2,1,2
149,1991,1,1,2
150,1991,2,1,2
151,1991,2,1,5
152,1991,1,1,2
153,1991,2,1,5
154,1991,2,1,2
155,1991,1,1,5
156,1991,1,1,5
157,1992,1,1,5
158,1992,5,1,5
159,1992,2,1,5
160,1992,1,1,5
161,1992,1,1,5
162,1992,1,1,5
163,1992,2,1,5
164,1992,1,1,5
165,1992,1,1,5
166,1992,1,1,2
167,1992,1,1,3
168,1992,1,1,3
169,1992,2,1,5
170,1992,1,1,5
171,1992,1,1,5
172,1992,1,1,2
173,1992,5,1,5
174,1992,1,1,2
175,1992,1,1,5
176,1992,2,1,2
177,1992,1,1,2
178,1992,2,1,5
179,1992,2,1,5
180,1992,2,1,2
181,1992,2,1,5
182,1992,1,1,5
183,1992,1,1,5
184,1992,2,1,5
185,1992,2,1,2
186,1992,2,1,5
187,1992,1,1,2
188,1993,1,1,1
189,1993,2,1,2
190,1993,2,1,5
191,1993,1,1,5
192,1993,3,1,5
193,1993,1,1,5
194,1993,2,1,2
195,1993,5,1,5
196,1993,5,1,5
197,1993,1,1,5
198,1993,1,1,2
199,1993,2,1,5
200,1993,1,1,2
201,1993,5,1,5
202,1993,1,1,5
203,1993,1,1,2
204,1993,1,1,2
205,1993,1,1,5
206,1993,2,1,5
207,1993,2,1,5
208,1993,2,1,5
209,1993,2,1,5
210,1993,1,1,5
211,1993,1,1,5
212,1993,2,1,5
213,1993,5,1,5
214,1993,1,1,3
215,1993,1,1,2
216,1993,2,1,5
217,1993,2,1,5
218,1993,1,1,5
219,1993,2,1,2
220,1993,2,1,5
221,1993,1,1,5
222,1993,1,1,5
223,1993,1,1,2
224,1993,2,1,5
225,1993,1,1,2
226,1994,1,1,5
227,1994,1,1,5
228,1994,2,1,2
229,1994,2,1,5
230,1994,2,1,2
231,1994,1,1,5
232,1994,1,1,2
233,1994,1,1,5
234,1994,2,1,2
235,1994,2,1,5
236,1994,1,1,5
237,1994,2,1,5
238,1994,1,1,5
239,1994,1,1,5
240,1994,1,1,5
241,1994,1,1,1
242,1994,1,1,5
243,1994,1,1,3
244,1994,2,1,5
245,1994,1,1,5
246,1994,1,1,5
247,1994,1,1,5
248,1994,1,1,5
249,1994,2,1,2
250,1994,5,1,5
251,1994,1,1,5
252,1994,2,1,5
253,1994,1,1,5
254,1994,2,1,5
255,1994,2,1,2
256,1994,1,1,5
257,1995,1,1,5
258,1995,5,1,5
259,1995,1,1,5
260,1995,2,1,5
261,1995,1,1,5
262,1995,2,1,5
263,1995,1,1,5
264,1995,1,1,5
265,1995,2,1,5
266,1995,1,1,5
267,1995,1,1,5
268,1995,2,1,5
269,1995,1,1,5
270,1995,1,1,5
271,1995,1,1,2
272,1995,1,1,5
273,1995,2,1,2
274,1995,1,1,5
275,1995,2,1,5
276,1995,1,1,5
277,1995,2,1,2
278,1995,2,1,5
279,1995,2,1,5
280,1995,1,1,2
281,1995,2,1,5
282,1995,1,1,5
283,1995,2,1,5
284,1995,2,1,5
285,1995,2,1,5
286,1995,2,1,5
287,1995,1,1,5
288,1995,1,1,2
289,1995,2,1,5
290,1995,1,1,5
291,1995,2,1,5
292,1995,1,1,5
293,1995,2,1,5
294,1995,2,1,5
295,1995,1,1,5
296,1995,2,1,5
297,1995,1,1,5
298,1995,1,1,5
299,1995,1,1,5
300,1995,1,1,5
301,1995,1,1,5
302,1995,2,1,5
303,1995,1,1,5
304,1995,1,1,5
305,1995,1,1,5
306,1995,2,1,2
307,1995,1,1,2
308,1995,1,1,5
309,1995,2,1,5
310,1995,Asian,1,5
311,1995,5,1,5
312,1995,1,1,5
313,1996,1,1,5
314,1996,2,1,5
315,1996,1,1,1
316,1996,1,1,4
317,1996,2,1,5
318,1996,1,1,5
319,1996,2,1,2
320,1996,1,1,5
321,1996,1,1,5
322,1996,2,1,5
323,1996,2,1,5
324,1996,1,1,5
325,1996,1,1,5
326,1996,1,1,5
327,1996,1,1,5
328,1996,1,1,5
329,1996,1,1,5
330,1996,1,1,5
331,1996,1,1,2
332,1996,1,1,5
333,1996,2,1,5
334,1996,1,1,5
335,1996,3,1,5
336,1996,2,1,5
337,1996,1,1,5
338,1996,1,1,5
339,1996,1,1,5
340,1996,5,1,5
341,1996,1,1,5
342,1996,1,1,5
343,1996,2,1,5
344,1996,5,1,5
345,1996,1,1,2
346,1996,2,1,2
347,1996,1,1,2
348,1996,1,1,5
349,1996,1,1,2
350,1996,2,1,5
351,1996,2,1,5
352,1996,1,1,5
353,1996,2,1,2
354,1996,2,1,5
355,1996,1,1,5
356,1996,1,1,5
357,1996,1,1,5
358,1997,1,1,5
359,1997,5,1,5
360,1997,2,1,5
361,1997,1,1,2
362,1997,1,1,5
363,1997,1,1,5
364,1997,1,1,5
365,1997,1,1,5
366,1997,2,1,5
367,1997,2,1,5
368,1997,5,1,2
369,1997,1,1,5
370,1997,1,1,5
371,1997,1,1,5
372,1997,1,1,5
373,1997,1,1,5
374,1997,1,1,5
375,1997,1,1,5
376,1997,2,1,2
377,1997,2,1,5
378,1997,3,1,5
379,1997,2,1,5
380,1997,1,1,5
381,1997,1,1,5
382,1997,1,1,5
383,1997,1,1,5
384,1997,2,1,5
385,1997,1,1,5
386,1997,1,1,5
387,1997,2,1,5
388,1997,2,1,5
389,1997,2,1,5
390,1997,5,1,5
391,1997,1,1,2
392,1997,1,1,5
393,1997,1,1,5
394,1997,1,1,5
395,1997,2,1,5
396,1997,5,1,5
397,1997,1,1,5
398,1997,1,1,2
399,1997,2,1,5
400,1997,1,1,5
401,1997,1,1,5
402,1997,3,1,5
403,1997,1,1,5
404,1997,1,1,5
405,1997,1,1,5
406,1997,2,1,5
407,1997,1,1,5
408,1997,2,1,5
409,1997,5,1,5
410,1997,2,1,5
411,1997,2,1,5
412,1997,1,1,5
413,1997,1,1,5
414,1997,2,1,5
415,1997,1,1,5
416,1997,1,1,5
417,1997,1,1,5
418,1997,2,1,5
419,1997,Asian,1,5
420,1997,1,1,5
421,1997,2,1,5
422,1997,2,1,5
423,1997,2,1,5
424,1997,2,1,5
425,1997,1,1,5
426,1997,2,1,5
427,1997,2,1,5
428,1997,2,1,2
429,1997,1,1,5
430,1997,2,1,5
431,1997,1,1,5
432,1998,1,1,5
433,1998,5,1,5
434,1998,1,1,5
435,1998,1,1,3
436,1998,1,2,5
437,1998,1,1,5
438,1998,2,1,5
439,1998,1,1,5
440,1998,1,1,5
441,1998,2,1,5
442,1998,1,1,5
443,1998,1,1,5
444,1998,1,1,5
445,1998,1,1,2
446,1998,2,1,2
447,1998,2,1,5
448,1998,2,1,5
449,1998,1,2,2
450,1998,3,1,2
451,1998,5,1,5
452,1998,1,1,5
453,1998,5,1,5
454,1998,1,1,5
455,1998,1,1,5
456,1998,1,1,5
457,1998,1,1,5
458,1998,1,1,2
459,1998,2,1,5
460,1998,5,1,5
461,1998,1,1,5
462,1998,1,1,2
463,1998,1,1,5
464,1998,1,1,5
465,1998,1,1,5
466,1998,5,1,5
467,1998,1,1,5
468,1998,1,1,5
469,1998,1,1,5
470,1998,1,1,5
471,1998,1,1,5
472,1998,1,1,5
473,1998,2,1,5
474,1998,5,1,5
475,1998,2,1,5
476,1998,1,1,5
477,1998,5,1,5
478,1998,1,1,2
479,1998,1,1,5
480,1998,5,1,5
481,1998,5,1,5
482,1998,1,1,5
483,1998,1,1,5
484,1998,2,1,5
485,1998,2,1,5
486,1998,2,1,5
487,1998,1,1,5
488,1998,2,1,5
489,1998,1,1,5
490,1998,2,1,5
491,1998,2,1,5
492,1998,2,1,5
493,1998,1,1,5
494,1998,1,1,5
495,1998,Asian,1,5
496,1998,2,1,5
497,1998,2,1,5
498,1998,1,1,5
499,1998,2,1,5
500,1999,1,1,5
501,1999,3,1,5
502,1999,2,1,5
503,1999,2,1,5
504,1999,2,1,5
505,1999,1,1,5
506,1999,1,1,5
507,1999,2,1,5
508,1999,1,1,5
509,1999,5,1,5
510,1999,3,1,5
511,1999,1,1,5
512,1999,1,1,5
513,1999,Asian,1,5
514,1999,5,1,5
515,1999,1,1,5
516,1999,5,1,5
517,1999,1,1,5
518,1999,1,1,5
519,1999,1,1,5
520,1999,2,1,5
521,1999,1,1,5
522,1999,1,1,3
523,1999,1,1,5
524,1999,1,1,5
525,1999,1,1,5
526,1999,1,1,5
527,1999,2,1,5
528,1999,1,1,5
529,1999,1,1,5
530,1999,Asian,1,5
531,1999,1,1,5
532,1999,2,1,5
533,1999,2,1,5
534,1999,1,1,5
535,1999,1,1,5
536,1999,2,1,5
537,1999,1,1,5
538,1999,1,1,5
539,1999,1,1,5
540,1999,2,1,5
541,1999,5,1,5
542,1999,1,1,5
543,1999,2,1,5
544,1999,1,1,5
545,1999,2,1,5
546,1999,1,1,5
547,1999,1,1,5
548,1999,2,1,5
549,1999,1,1,5
550,1999,1,1,5
551,1999,2,1,2
552,1999,1,1,5
553,1999,1,1,5
554,1999,1,1,5
555,1999,2,1,5
556,1999,1,1,5
557,1999,1,1,2
558,1999,1,1,5
559,1999,1,1,5
560,1999,2,1,5
561,1999,2,1,2
562,1999,2,1,5
563,1999,1,1,5
564,1999,2,1,5
565,1999,5,1,5
566,1999,1,1,5
567,1999,2,1,5
568,1999,1,1,5
569,1999,1,1,5
570,1999,2,1,5
571,1999,2,1,5
572,1999,1,1,5
573,1999,1,1,5
574,1999,2,1,5
575,1999,2,1,5
576,1999,1,1,5
577,1999,1,1,5
578,1999,1,1,5
579,1999,2,1,5
580,1999,1,1,5
581,1999,5,1,5
582,1999,3,1,5
583,1999,2,1,5
584,1999,2,1,5
585,1999,2,1,5
586,1999,1,1,5
587,1999,5,1,5
588,1999,2,1,5
589,1999,2,1,5
590,1999,1,1,5
591,1999,1,1,5
592,1999,2,1,5
593,1999,1,1,5
594,1999,1,1,5
595,1999,2,1,5
596,1999,1,1,5
597,1999,2,1,5
598,2000,2,1,5
599,2000,1,1,2
600,2000,1,1,5
601,2000,1,1,5
602,2000,1,1,5
603,2000,1,1,5
604,2000,1,1,5
605,2000,2,1,5
606,2000,1,1,5
607,2000,1,1,5
608,2000,2,1,5
609,2000,1,1,5
610,2000,2,1,5
611,2000,1,1,5
612,2000,1,1,5
613,2000,2,1,5
614,2000,1,1,5
615,2000,1,2,5
616,2000,2,1,5
617,2000,2,1,2
618,2000,2,1,5
619,2000,3,1,5
620,2000,1,1,5
621,2000,1,1,5
622,2000,2,1,5
623,2000,1,1,5
624,2000,2,1,5
625,2000,2,1,2
626,2000,1,1,5
627,2000,2,1,5
628,2000,1,2,5
629,2000,2,1,5
630,2000,1,1,5
631,2000,1,1,5
632,2000,2,1,5
633,2000,1,1,5
634,2000,2,1,5
635,2000,2,1,5
636,2000,2,1,5
637,2000,3,1,5
638,2000,2,1,2
639,2000,2,1,5
640,2000,2,1,5
641,2000,1,1,5
642,2000,1,1,5
643,2000,2,1,5
644,2000,2,1,5
645,2000,5,1,5
646,2000,1,1,5
647,2000,2,1,5
648,2000,1,1,5
649,2000,5,1,5
650,2000,1,1,2
651,2000,1,1,5
652,2000,1,1,5
653,2000,5,1,5
654,2000,2,1,5
655,2000,5,1,5
656,2000,1,1,5
657,2000,2,1,5
658,2000,1,1,5
659,2000,1,1,5
660,2000,1,1,5
661,2000,1,1,5
662,2000,2,1,5
663,2000,1,1,5
664,2000,2,1,5
665,2000,1,1,5
666,2000,1,1,5
667,2000,2,1,5
668,2000,1,1,5
669,2000,2,1,5
670,2000,1,1,5
671,2000,2,1,5
672,2000,5,1,5
673,2000,2,1,5
674,2000,1,1,5
675,2000,2,1,5
676,2000,2,1,5
677,2000,1,1,5
678,2000,1,1,5
679,2000,2,1,5
680,2000,5,1,5
681,2000,1,1,5
682,2000,2,1,5
683,2001,1,1,5
684,2001,2,1,5
685,2001,1,1,5
686,2001,2,2,5
687,2001,1,1,5
688,2001,1,1,5
689,2001,3,1,5
690,2001,1,1,5
691,2001,1,1,5
692,2001,2,1,5
693,2001,1,1,5
694,2001,1,1,5
695,2001,1,1,5
696,2001,5,1,5
697,2001,1,1,5
698,2001,1,1,5
699,2001,1,1,5
700,2001,2,1,5
701,2001,1,1,5
702,2001,1,1,5
703,2001,1,1,5
704,2001,1,1,5
705,2001,1,1,5
706,2001,1,1,5
707,2001,2,1,5
708,2001,2,1,5
709,2001,1,1,5
710,2001,1,2,5
711,2001,1,1,5
712,2001,3,1,5
713,2001,2,1,5
714,2001,2,1,5
715,2001,2,1,5
716,2001,1,1,5
717,2001,1,1,5
718,2001,2,1,5
719,2001,5,1,5
720,2001,2,1,5
721,2001,1,1,5
722,2001,2,1,5
723,2001,1,1,5
724,2001,3,1,5
725,2001,1,1,5
726,2001,1,1,5
727,2001,1,1,5
728,2001,1,1,5
729,2001,1,1,5
730,2001,1,1,5
731,2001,1,1,5
732,2001,1,1,5
733,2001,2,1,5
734,2001,1,1,5
735,2001,1,1,5
736,2001,2,1,5
737,2001,1,1,5
738,2001,1,1,5
739,2001,2,1,5
740,2001,1,1,5
741,2001,1,1,5
742,2001,1,1,5
743,2001,2,1,5
744,2001,1,1,5
745,2001,1,2,5
746,2001,Other Race,1,5
747,2001,1,1,5
748,2001,2,1,5
749,2002,1,1,5
750,2002,1,1,5
751,2002,2,1,5
752,2002,1,1,5
753,2002,1,1,5
754,2002,1,1,5
755,2002,2,1,5
756,2002,1,1,5
757,2002,1,1,5
758,2002,2,1,5
759,2002,1,1,5
760,2002,1,1,5
761,2002,1,1,5
762,2002,2,1,5
763,2002,1,1,5
764,2002,1,1,5
765,2002,1,1,5
766,2002,1,1,5
767,2002,5,1,5
768,2002,2,1,5
769,2002,1,1,5
770,2002,2,1,5
771,2002,5,1,5
